"A(km)","D*bounce_amplitude_1(cm)","D*bounce_amplitude_2(cm)","EOS","MbarICgrav(Msun)","Mgrav1_IC_b(Msun)","Mrest_IC_b(Msun)","SNR(aLIGOfrom10kpc)","T_c_b(MeV)","Ye_c_b","alpha_c_b","beta1_IC_avg","beta1_IC_b","fpeak(Hz)","j_IC_b(g*cm^2|s)","omega_0(rad|s)","omega_max(rad|s)","rPNSequator_b(km)","rPNSpole_b(km)","r_omega_max(km)","rho_c_b(g|ccm)","rhobar_c_postbounce(g|ccm)","s_c_b(kB|baryon)","t_bounce_end(s)","t_postbounce_end(s)","tbounce(s)"
1268,14.7164066411095,-31.3931813922666,"BHBL",1.0566256735961,0.59930913755949,0.607752827474475,5.82271925964,14.7465801567935,0.279669982888,0.831893805008,0.00438487087777,0.00409781196423,698.236057932,5.81007908092493e+47,1,1320.14592895,63.0369162713,63.0369162713,5.263255793,364557396821000,322874253143000,1.04292806196,0.177297595477,0.183297595477,0.175914921937
1268,30.5632550710387,-62.959970478078,"BHBL",1.07301156426525,0.604439753810243,0.612917189066899,13.2423870463,14.6989715203601,0.279669980478,0.831824253477,0.00969741977394,0.00907381359343,711.996049383,8.81603717609172e+47,1.5,1866.92184947,63.0369162713,63.0369162713,7.51110821417,364103128696000,321409832061000,1.03745383892,0.179385672117,0.185385672117,0.178015815975
1268,53.1274063305016,-107.469395898719,"BHBL",1.0519504643859,0.625339615447573,0.634025213833908,23.3122892979,15.4656526041847,0.279669956124,0.830651583842,0.0168853923728,0.0160822991166,711.021293822,1.24325352757507e+48,2,2573.22325407,64.7021544797,59.816491693,5.263255793,358335624423000,319186361896000,1.02884090237,0.182444309607,0.188444309607,0.181085184652
1268,87.0058156564755,-161.332771769207,"BHBL",1.08492677630084,0.631112362893949,0.639817321462668,35.1251663795,14.9109979742384,0.279669940589,0.831041500674,0.0256147737092,0.0243491821068,706.139755982,1.5659362637677e+48,2.5,2931.18142734,64.7021544797,59.816491693,5.263255793,356551289217000,315287398624000,1.03677845003,0.186582015351,0.192582015351,0.185243048161
1268,132.634524143712,-223.665328801809,"BHBL",1.07093951109547,0.649661096799719,0.658479153208161,49.1133121832,14.8631071089333,0.279669917445,0.830559195921,0.0357062762237,0.034455458791,701.918939744,1.96498376079068e+48,3,3236.84629673,64.7021544797,56.7374254426,9.62993318896,351679891857000,310835792503000,1.02753328789,0.192005710398,0.198005710398,0.190728489588
1268,184.9818854551,-283.46180424632,"BHBL",1.08682236755819,0.672198297775968,0.68117474916863,64.3736800064,15.1789999017061,0.279669885881,0.830014255686,0.0470150080374,0.0463312895713,687.542857143,2.43468255832334e+48,3.5,3572.77863473,64.7021544797,53.7935126932,10.0829846074,344151904851000,306105272189000,1.02142492584,0.199068552379,0.205068552379,0.197851184359
1268,229.754902515681,-335.424590466631,"BHBL",1.08380712234679,0.690881156171184,0.699910177171529,78.11179792,14.4103636586666,0.279669838801,0.83079954837,0.0591252345689,0.0592044227455,685.972087724,2.91906130953529e+48,4,3933.40046479,64.7021544797,50.9788209745,5.263255793,334920614661000,300807602078000,1.03164268112,0.208277281063,0.214277281063,0.207106956133
1268,244.918698944309,-376.357263088909,"BHBL",1.09453871137198,0.717795074790597,0.726789279583452,88.5688822759,14.1444479794502,0.279669779298,0.832461128962,0.0718341478514,0.0737041919249,706.492386471,3.53351316007735e+48,4.5,4440.86475689,64.7021544797,45.714661327,6.72795089292,321878554426000,294147993718000,1.03179381823,0.220457791274,0.226457791274,0.219334143276
1268,210.393202425506,-391.421971566719,"BHBL",1.07425861110553,0.734740628283484,0.743621903848885,95.1855661569,13.787426194345,0.279669740368,0.834496211987,0.0847191583098,0.0878051864648,724.063779033,4.08178304461698e+48,5,4843.91208278,66.4051888646,42.0653421917,5.263255793,312652745793000,286476843512000,1.03780002216,0.237056766,0.243056766,0.235918527232
1268,131.133145757811,-404.351104771261,"BHBL",1.0877891292846,0.756585036263131,0.765319824944027,99.2043873467,13.3666269743508,0.279669693191,0.836848020742,0.0971390512143,0.102817686853,745.57877887,4.73053926927551e+48,5.5,5127.66659177,66.4051888646,36.5035057529,5.263255793,300021539199000,277169381972000,1.04573191421,0.260894175976,0.266894175976,0.259693892237
1268,55.6676454257201,-407.773076236816,"BHBL",1.09734008719521,0.778692071554626,0.787324480347423,101.471580599,12.7758036766842,0.279669658561,0.839574745712,0.109239102045,0.117543782568,752.833910208,5.43187423187055e+48,6,5288.83310794,66.4051888646,27.9376338085,5.263255793,287508781651000,268135425760000,1.0421298133,0.298164474461,0.304164474461,0.296942829767
1268,43.8104467002197,-393.23283785628,"BHBL",1.10496228973405,0.811877618035105,0.820266912237984,104.045220736,12.1981352227461,0.279669621965,0.843096798256,0.121541864435,0.133527525116,754.0249694,6.42225713734276e+48,6.5,5385.19947808,64.7021544797,22.3739915779,5.263255793,275149773942000,258763586750000,1.04018580776,0.367972339788,0.373972339788,0.36676732395
10000,4.21681997981358,-12.9167683294918,"BHBL",1.06106171986828,0.598574170767101,0.606623595042847,1.83109141563,14.771988771092,0.27967,0.831470320452,0.00127973985404,0.00114322776886,685.637763642,3.0532129851532e+47,0.5,692.679836492,63.0369162713,63.0369162713,8.33021988012,364237789268000,324760688518000,1.04308398514,0.17628937137,0.18228937137,0.174882934169
10000,16.0500748699793,-32.9138804743269,"BHBL",1.0848057458348,0.599315932924745,0.607742546776515,6.47756109683,14.6712500492246,0.279669982136,0.832068154813,0.00502999515128,0.00449633370734,700.716452549,6.08435515855847e+47,1,1381.14247825,63.0369162713,63.0369162713,7.11513555758,364539489649000,322583749065000,1.04294649908,0.178074899042,0.184074899042,0.176692783924
10000,35.5502150487605,-72.7467744859833,"BHBL",1.06201760892363,0.604688941396778,0.613161932756783,14.8994027773,14.7392455485303,0.279669979344,0.83196555071,0.0110637991695,0.00991134862959,715.656751691,9.22420079280151e+47,1.5,2063.96974115,64.7021544797,61.4086354126,14.0978712236,363953142809000,321133812594000,1.03471054447,0.181218351406,0.187218351406,0.179849504607
10000,60.6772760716678,-118.516878838489,"BHBL",1.07097455165653,0.625127216162067,0.633787627007105,25.9122632882,15.2449415887284,0.279669955802,0.831064848496,0.0191270660026,0.0174696752425,713.593387379,1.29664838672678e+48,2,2637.75622745,64.7021544797,59.816491693,15.2193777486,357786678472000,318552979539000,1.02334573325,0.185964012465,0.191964012465,0.18459722542
10000,99.134375047739,-179.466739059115,"BHBL",1.0954746252476,0.633713503583032,0.64240005059256,38.9333834979,14.5651409651953,0.279669934642,0.831467291698,0.0287496399464,0.0264353919422,704.742299716,1.64483547365305e+48,2.5,2989.77476024,64.7021544797,58.2596831057,9.62993318896,355491449779000,314150770348000,1.03149942029,0.192637624767,0.198637624767,0.191300401746
